,Timestamp,ID,articleCount,avgSentiment,stdSentiment,25quantileSentiment,50quantileSentiment,75quantileSentiment,maxSentiment,minSentiment,ibmSentiment
0,2018-05-01,Samsung,538,0.06654528839912656,0.22281104999630147,-0.03356999999999999,0.08415,0.21730500000000003,0.70496,-0.5282,0
1,2018-05-02,Samsung,896,0.0813467171999008,0.20466133140937456,-0.020812499999999994,0.06884,0.21171,0.9477,-0.5626800000000001,0
2,2018-05-03,Samsung,874,0.11372173781373722,0.2036547202669381,0.0,0.10574125000000001,0.24513999999999997,0.67499,-0.6023000000000001,0
3,2018-05-04,Samsung,551,0.08219148265779389,0.20679313985423303,-0.010144999999999998,0.04145999999999998,0.213785,0.72443,-0.63234,0
4,2018-05-05,Samsung,253,0.07473914941338852,0.19017617462636552,0.0,0.041666666666666664,0.1582375,0.9698,-0.47952000000000006,0
5,2018-05-06,Samsung,100,0.02972929722222222,0.16237878911208337,-0.056604999999999996,0.0,0.12193666666666667,0.5126200000000001,-0.3818,0
6,2018-05-07,Samsung,381,0.10533392117651966,0.20870608628819995,0.0,0.1022,0.23775,0.6668999999999999,-0.5806,0
7,2018-05-08,Samsung,641,0.09693486553747849,0.23107277878636637,0.0,0.08739999999999999,0.23971,0.9136,-0.9001,0
8,2018-05-09,Samsung,567,0.08590328119313567,0.20562961353314443,0.0,0.09804,0.22624444444444444,0.7044400000000001,-0.55949,0
9,2018-05-10,Samsung,521,0.11998352108277734,0.17706455960484702,0.0,0.0908375,0.2355,0.7042,-0.46071999999999996,0
10,2018-05-11,Samsung,369,0.07781347206091102,0.20061459868300602,0.0,0.068,0.20046999999999998,0.7325200000000001,-0.5806,0
11,2018-05-12,Samsung,187,0.07383590145148969,0.18656478485334976,0.0,0.032490000000000005,0.190925,0.80271,-0.41777,0
12,2018-05-13,Samsung,108,0.061793128674309236,0.14847178498847968,0.0,0.03010611111111111,0.15862,0.54423,-0.35434,0
13,2018-05-14,Samsung,532,0.09966609746091411,0.19513137243093073,-0.004527499999999995,0.06551833333333333,0.2292675,0.8244900000000002,-0.4630300000000001,0
14,2018-05-15,Samsung,720,0.1633071030643734,0.2506724745976049,0.0,0.12913,0.311885,0.7311200000000001,-0.7497,0
15,2018-05-16,Samsung,613,0.0944393378259406,0.21648901535665738,-0.00958,0.07536000000000001,0.23532999999999998,0.8490699999999999,-0.53627,0
16,2018-05-17,Samsung,634,0.09699782528416202,0.20689692233270743,0.0,0.07874,0.23328,0.6369,-0.8941,0
17,2018-05-18,Samsung,553,0.10665876474640491,0.20337060715378663,0.0,0.08886666666666666,0.24844,0.69685,-0.54918,0
18,2018-05-19,Samsung,246,0.07365222754548978,0.18809636909678884,0.0,0.05217,0.19470250000000003,0.63266,-0.6166,0
19,2018-05-20,Samsung,118,0.07538937214151199,0.1538521286811621,0.0,0.016765,0.1619425,0.5549428571428571,-0.2806,0
20,2018-05-01,BASF,102,0.04446846405228757,0.3100820765293601,-0.20223000000000002,0.169125,0.27055999999999997,0.70577,-0.47851,0
21,2018-05-02,BASF,156,0.19001211233211235,0.23657913760513588,0.11993000000000001,0.23679999999999998,0.32337000000000005,0.6525,-0.63234,0
22,2018-05-03,BASF,217,0.14642036994367633,0.2107086569595487,0.016510000000000014,0.20038,0.2729111111111111,0.6622100000000001,-0.38286000000000003,0
23,2018-05-04,BASF,351,-6.380059241171913e-05,0.25418359514808947,-0.18192000000000003,-0.0394,0.21988,0.61798,-0.6996333333333333,0
24,2018-05-05,BASF,27,0.07381037037037037,0.2722926025645868,-0.139855,0.13532000000000002,0.28885,0.44496,-0.3910600000000001,0
