,Timestamp,ID,articleCount,avgSentiment,stdSentiment,25quantileSentiment,50quantileSentiment,75quantileSentiment,maxSentiment,minSentiment,socialScore,nbOfDuplicates
0,2016-12-26,Samsung,50,0.11497597777777777,0.24689556646307503,-0.0010533333333333297,0.06728,0.274575,-0.4664,0.6251,5609,4
1,2016-12-27,Samsung,50,0.03022836984126985,0.2550317475551257,-0.1900211111111111,0.036034444444444445,0.21089464285714285,-0.466025,0.56105,3007,9
2,2016-12-28,Samsung,50,0.07962688492063492,0.23302683280204464,-0.051057499999999985,0.06453333333333333,0.2422025,-0.6701699999999999,0.58646,3678,4
3,2016-12-29,Samsung,50,0.15601166587301582,0.13795759256927217,0.07493625000000001,0.16229555555555558,0.27308,-0.22954000000000002,0.4539000000000001,16007,4
4,2016-12-30,Samsung,50,0.1316970698412699,0.20461660471944745,0.021542500000000006,0.13409625,0.2364842857142857,-0.5576749999999999,0.5292900000000001,3659,4
5,2016-12-26,BASF,21,0.2472555555555555,0.1582455468298602,0.13284,0.20605,0.28963,-0.0185,0.6409499999999999,97,2
6,2016-12-27,BASF,37,0.27906009009009014,0.13755788517726988,0.15733999999999998,0.29341000000000006,0.37162,0.04538000000000001,0.54432,5495,5
7,2016-12-28,BASF,21,0.16546349206349203,0.11221548279724144,0.07796,0.16492,0.26299000000000006,-0.01508,0.39556,5,3
8,2016-12-29,BASF,22,0.24860454545454536,0.22807467571425918,0.037822499999999995,0.15826,0.43259749999999997,-0.0823,0.61909,8,4
9,2016-12-30,BASF,20,0.23114762500000005,0.1375793929152101,0.1461725,0.20916,0.320996875,-0.018330000000000013,0.49134,68,1
10,2016-12-26,Apple,50,0.17106491666666662,0.18237865504647296,0.023459999999999998,0.1942,0.287899375,-0.27597,0.56367,5963,3
11,2016-12-27,Apple,50,0.2656634793650795,0.19224706857058954,0.1706225,0.35306000000000004,0.38048000000000004,-0.38489,0.56105,3914,3
12,2016-12-28,Apple,50,0.14187441587301589,0.19564686440479528,-0.029604999999999996,0.12399999999999999,0.2612533333333333,-0.22493,0.58646,2124,9
13,2016-12-29,Apple,50,0.06871807777777778,0.2231137843766073,-0.018847499999999993,0.131305,0.2057,-0.46999,0.43139000000000005,5601,4
14,2016-12-30,Apple,50,0.11222232222222223,0.17096706415600516,-0.008655,0.10643,0.20753499999999997,-0.21439999999999998,0.5247599999999999,15210,6
15,2016-12-26,Tesla,35,0.09970898412698415,0.19266614287125491,-0.05330999999999998,0.11259999999999999,0.27687500000000004,-0.26380000000000003,0.4085,12896,6
16,2016-12-27,Tesla,50,0.1280630706349207,0.15011802511122344,0.052255,0.11828571428571429,0.2190375,-0.39566000000000007,0.4366777777777778,5399,8
17,2016-12-28,Tesla,50,0.043281784126984114,0.19062313677769832,-0.11121500000000001,0.06936,0.16175500000000004,-0.44137000000000004,0.40926,13450,1
18,2016-12-29,Tesla,50,0.09936777142857142,0.19246533723871945,0.07627,0.11005,0.22855999999999999,-0.51085,0.41037,12837,8
19,2016-12-30,Tesla,44,0.12804906565656565,0.1752008197414252,0.04439249999999998,0.14237500000000003,0.221785,-0.2757,0.54882,6338,6
20,2016-12-26,Airbus,48,0.12723188326719573,0.1240653238056284,0.07985249999999999,0.15793125,0.19096,-0.25237,0.51945,6761,7
21,2016-12-27,Airbus,50,0.051115623809523815,0.1613825261847902,-0.07633083333333332,0.059425000000000006,0.1679475,-0.3476,0.35625,4259,9
22,2016-12-28,Airbus,50,0.09495814841269842,0.16762600425634178,0.004492499999999993,0.12541999999999998,0.21238611111111114,-0.23076000000000002,0.4763428571428571,38194,4
23,2016-12-29,Airbus,50,0.08169390396825396,0.18286534322120296,0.024389999999999995,0.066745,0.17767687499999998,-0.21916666666666668,0.70069,1591,11
24,2016-12-30,Airbus,28,0.21515928571428575,0.20945616548273333,0.0778075,0.210055,0.38823250000000004,-0.18073,0.56925,12999,0
25,2016-12-26,Bayer,49,0.21054407029478464,0.155207320850958,0.11912,0.16275999999999996,0.33880000000000005,-0.09612,0.47085,21247,3
26,2016-12-27,Bayer,49,0.2270288775510204,0.13996725847788086,0.13259999999999997,0.22606,0.30701,-0.07551000000000002,0.5961299999999999,25701,5
27,2016-12-28,Bayer,50,0.3334169777777779,0.13934689859120666,0.24780500000000003,0.344425,0.45585,-0.03630999999999999,0.52844,34540,5
28,2016-12-29,Bayer,50,0.21474747222222226,0.14844383521552135,0.15751874999999999,0.22402,0.30282999999999993,-0.07971250000000002,0.5341400000000001,34692,4
29,2016-12-30,Bayer,50,0.19776329999999995,0.1539225064751807,0.09738249999999998,0.22352,0.2846525,-0.1224,0.52748,26156,2
30,2016-12-26,BMW,50,0.07963816190476192,0.23238834846438383,-0.03491666666666665,0.11757,0.20372000000000004,-0.51215,0.63531,3828,3
31,2016-12-27,BMW,50,0.08412846666666664,0.23870556285413672,0.035375000000000004,0.12189499999999999,0.23696250000000002,-0.6933,0.49111666666666665,14806,3
32,2016-12-28,BMW,50,-0.05307057539682539,0.09440003419096868,-0.09604875000000002,-0.061725,-0.03669750000000001,-0.2220444444444444,0.3311,4203,36
33,2016-12-29,BMW,50,0.06893058015873019,0.23766584572453142,-0.04925249999999999,0.08175,0.2253585714285714,-0.6287833333333334,0.64143,11477,8
34,2016-12-30,BMW,50,0.09229302142857146,0.22127306071709416,-0.0029299999999999973,0.16126,0.22200500000000004,-0.4667199999999999,0.5136499999999999,13011,3
35,2016-12-26,Telefonica,1,0.4085,0.0,0.4085,0.4085,0.4085,0.4085,0.4085,49,0
36,2016-12-27,Telefonica,3,0.03532407407407407,0.11814831758666591,-0.032888888888888884,-0.032888888888888884,0.06943055555555555,-0.032888888888888884,0.17174999999999999,9,1
37,2016-12-28,Telefonica,3,0.12637666666666666,0.22198868942658617,0.04155,0.20796,0.25199499999999997,-0.12486000000000001,0.29602999999999996,9,0
38,2016-12-29,Telefonica,2,0.16316000000000003,0.1144098771959834,0.12271000000000001,0.16316000000000003,0.20361,0.08226000000000001,0.24406000000000003,7,0
39,2016-12-30,Telefonica,10,-0.02421233333333333,0.0515116834176337,-0.04972499999999999,-0.03860999999999999,-0.03860999999999999,-0.0792,0.08269,26,3
40,2016-12-26,Google,50,0.13119663333333334,0.21127605278748812,-0.025635,0.18525999999999998,0.27401,-0.37131000000000003,0.6251,9014,2
41,2016-12-27,Google,50,0.12863715555555552,0.19774881287776644,0.0037550000000000053,0.12164333333333333,0.25688333333333335,-0.27442,0.56105,9678,6
42,2016-12-28,Google,50,0.17315632222222221,0.2071418286068438,0.05135000000000001,0.05135000000000001,0.31272,-0.18478999999999995,0.7571875,4155,9
43,2016-12-29,Google,50,0.12819294603174605,0.14272749891081804,0.061540000000000004,0.11922999999999999,0.220925,-0.24469000000000002,0.42094444444444445,4343,12
44,2016-12-30,Google,50,0.12194130000000002,0.20611190630634293,-0.0020774999999999865,0.15012,0.274665,-0.33623000000000003,0.47492,11197,2
45,2016-12-26,Allianz,18,0.1477025925925926,0.17733398705303197,0.027316666666666694,0.027316666666666694,0.3488525,-0.0011700000000000044,0.43904000000000004,60,8
46,2016-12-27,Allianz,8,0.08932,0.1650439026441147,0.031465,0.12061999999999999,0.12061999999999999,-0.21495000000000006,0.38493,0,4
47,2016-12-28,Allianz,12,-0.01333041666666668,0.24145834561207385,-0.24300250000000004,0.09318,0.12061999999999999,-0.320825,0.47319999999999995,300,1
48,2016-12-29,Allianz,12,0.07381249999999999,0.15792012792001128,0.03279,0.063215,0.1472725,-0.25038999999999995,0.3128699999999999,403,1
49,2016-12-30,Allianz,11,0.19809732323232324,0.15984003599757113,0.107025,0.20032999999999998,0.26549777777777783,-0.06777999999999998,0.43904000000000004,3,0
50,2016-12-26,Total,16,-0.001134218749999999,0.17524374704422113,-0.16762500000000002,0.07861500000000002,0.1379575,-0.33669000000000004,0.17848999999999998,30659,1
51,2016-12-27,Total,16,-0.02814875,0.15050179993940271,-0.09901499999999999,-0.03309,0.08038249999999998,-0.37195,0.21213,41980,1
52,2016-12-28,Total,20,-0.11010207142857145,0.16456648598629212,-0.21021035714285716,-0.11727,-0.012580000000000008,-0.38568,0.36815000000000003,4546,0
53,2016-12-29,Total,27,-0.005079259259259259,0.2526758584694556,-0.14091,-0.05058,0.073865,-0.37586,0.9617,25610,0
54,2016-12-30,Total,21,-0.11341571428571427,0.20387274363120314,-0.16465999999999997,-0.16070999999999996,0.0026000000000000025,-0.47190000000000004,0.31877,27561,3
