,Timestamp,ID,articleCount,avgSentiment,stdSentiment,25quantileSentiment,50quantileSentiment,75quantileSentiment,maxSentiment,minSentiment
0,2018-02-23,Samsung,837,0.06543356147237862,0.18149573003608235,-0.01027,0.05051,0.17296,-0.5167571428571429,0.5859500000000001
1,2018-02-23,BASF,71,-0.04331670970266043,0.30343269518378924,-0.32667,0.0,0.21983999999999998,-0.69603,0.463275
2,2018-02-23,Apple,1706,0.05584736653082493,0.20663666853200688,-0.0422475,0.035864999999999994,0.18475388888888888,-0.66267,0.7719
3,2018-02-23,Tesla,220,0.16451687301587306,0.16433685717039936,0.0550075,0.165995,0.2785325,-0.27145,0.54216
4,2018-02-23,Airbus,219,0.04855503605856356,0.2317500426757416,-0.06619000000000001,0.0,0.11282000000000003,-0.49744,0.7719
5,2018-02-23,Bayer,689,-0.008480113633745711,0.17761253815813477,-0.11988000000000001,0.0,0.05995,-0.60382,0.9983
6,2018-02-23,BMW,853,-0.06408190960010407,0.22314853058491724,-0.23976000000000003,-0.07545,0.10415,-0.6429199999999999,0.66618
7,2018-02-23,Telefonica,154,0.0019602306225520523,0.1977943439168739,-0.12153749999999999,0.002120000000000005,0.11096500000000004,-0.8126,0.4946600000000001
8,2018-02-23,Google,1922,0.08265068478189036,0.18832867228160338,-0.015667499999999997,0.06679666666666667,0.19995999999999997,-0.6415500000000001,0.802
9,2018-02-23,Allianz,197,-0.19778985718314407,0.261212031514462,-0.40608000000000005,-0.25298,-0.05994000000000001,-0.62928,0.56768
10,2018-02-23,Total,151,0.004943985335856198,0.15605007098915966,-0.05574,0.0,0.006280000000000014,-0.6553777777777778,0.5017777777777778
