,Timestamp,ID,articleCount,avgSentiment,stdSentiment,25quantileSentiment,50quantileSentiment,75quantileSentiment,maxSentiment,minSentiment,socialScore,nbOfDuplicates,Previous_Day_Return,Next_Day_Return
0,2016-12-27,Allianz,8,0.08932000000000001,0.1650439026441147,0.031465,0.12062,0.12062,-0.21495000000000009,0.38493,0,4,-0.0006373486512751825,-0.002873106525476565
1,2016-12-27,Bayer,49,0.2270288775510204,0.13996725847788086,0.13259999999999994,0.22606,0.30701,-0.07551000000000002,0.5961299999999999,25701,5,0.0022310119790347467,-0.0003039359731618063
2,2016-12-27,Total,16,-0.02814875,0.15050179993940271,-0.09901499999999999,-0.033089999999999994,0.08038249999999998,-0.37195,0.21213,41980,1,0.0,-0.013898904376834498
3,2016-12-27,Airbus,50,0.05111562380952382,0.1613825261847902,-0.07633083333333332,0.05942500000000001,0.1679475,-0.3476,0.35625,4259,9,-0.0012708500518989752,-0.0030247575397863713
4,2016-12-27,Google,50,0.12863715555555552,0.19774881287776644,0.003755000000000005,0.12164333333333333,0.2568833333333333,-0.27442,0.56105,9678,6,0.003865984196465888,-0.0014157927585340955
5,2016-12-27,Telefonica,3,0.03532407407407407,0.11814831758666593,-0.032888888888888884,-0.032888888888888884,0.06943055555555555,-0.032888888888888884,0.17175,9,1,-0.002285715280855971,0.002285715280855971
6,2016-12-27,BMW,50,0.08412846666666664,0.2387055628541367,0.035375000000000004,0.121895,0.2369625,-0.6933,0.4911166666666666,14806,3,-0.0028943580263645075,0.0016708441648178862
7,2016-12-27,Tesla,50,0.1280630706349207,0.15011802511122346,0.052255,0.11828571428571427,0.2190375,-0.3956600000000001,0.4366777777777778,5399,8,0.02860176023849448,0.0009561318369035733
8,2016-12-27,BASF,37,0.2790600900900901,0.13755788517726988,0.15733999999999998,0.2934100000000001,0.37162,0.04538000000000001,0.54432,5495,5,0.003310694273457316,0.0029589187401386496
9,2016-12-27,Samsung,50,0.03022836984126985,0.2550317475551257,-0.1900211111111111,0.03603444444444445,0.21089464285714285,-0.466025,0.56105,3007,9,0.000556018918969059,-0.0061332782170744355
10,2016-12-27,Apple,50,0.2656634793650795,0.19224706857058954,0.17062249999999998,0.35306000000000004,0.38048000000000004,-0.38489,0.56105,3914,3,0.006330759444835189,-0.004273145550155455
11,2016-12-28,BASF,21,0.16546349206349206,0.11221548279724143,0.07796,0.16492,0.2629900000000001,-0.01508,0.39556,5,3,0.0029589187401386496,-0.0004546487916465836
12,2016-12-28,Tesla,50,0.043281784126984114,0.19062313677769832,-0.11121500000000001,0.06936,0.16175500000000004,-0.44137,0.40926,13450,1,0.0009561318369035733,-0.02329648196410705
13,2016-12-28,Google,50,0.1731563222222222,0.2071418286068438,0.05135000000000002,0.05135000000000002,0.31272,-0.18478999999999995,0.7571875,4155,9,-0.0014157927585340955,-0.016178599243706238
14,2016-12-28,BMW,50,-0.05307057539682539,0.09440003419096868,-0.09604875000000004,-0.061725,-0.03669750000000002,-0.2220444444444444,0.3311,4203,36,0.0016708441648178862,-0.01491309804671914
15,2016-12-28,Allianz,12,-0.01333041666666668,0.24145834561207385,-0.24300250000000004,0.09318,0.12062,-0.320825,0.4732,300,1,-0.002873106525476565,-0.0032020520474800307
16,2016-12-28,Bayer,50,0.3334169777777779,0.13934689859120666,0.24780500000000005,0.344425,0.45585,-0.03630999999999999,0.5284399999999999,34540,5,-0.0003039359731618063,0.00040522743944215733
17,2016-12-28,Apple,50,0.14187441587301589,0.19564686440479528,-0.029605000000000003,0.124,0.2612533333333333,-0.22493,0.58646,2124,9,-0.004273145550155455,-0.000256970321341754
18,2016-12-28,Samsung,50,0.07962688492063492,0.23302683280204464,-0.051057499999999985,0.06453333333333333,0.2422025,-0.6701699999999999,0.58646,3678,4,-0.0061332782170744355,0.007799482434823091
19,2016-12-28,Airbus,50,0.09495814841269842,0.16762600425634178,0.004492499999999993,0.12541999999999998,0.21238611111111114,-0.23076,0.4763428571428571,38194,4,-0.0030247575397863713,-0.004794639199518613
20,2016-12-28,Total,20,-0.11010207142857144,0.16456648598629212,-0.2102103571428572,-0.11727,-0.012580000000000008,-0.38568,0.36815,4546,0,-0.013898904376834498,-0.0010147134305467098
21,2016-12-28,Telefonica,3,0.12637666666666664,0.22198868942658612,0.04155,0.20796,0.25199499999999997,-0.12485999999999998,0.29603,9,0,0.002285715280855971,0.028509057558353312
22,2016-12-29,Samsung,50,0.15601166587301582,0.13795759256927215,0.07493625000000001,0.16229555555555558,0.27308000000000004,-0.22954000000000002,0.4539000000000001,16007,4,0.007799482434823091,0.010471299867296223
23,2016-12-29,Allianz,12,0.07381249999999999,0.15792012792001128,0.03279,0.063215,0.1472725,-0.25038999999999995,0.3128699999999999,403,1,-0.0032020520474800307,0.01420254266002008
24,2016-12-29,Google,50,0.12819294603174605,0.14272749891081804,0.06154,0.11922999999999999,0.220925,-0.24469000000000002,0.4209444444444445,4343,12,-0.016178599243706238,0.02125741479942089
25,2016-12-29,Total,27,-0.005079259259259259,0.2526758584694556,-0.14090999999999998,-0.05058,0.073865,-0.37586,0.9617,25610,0,-0.0010147134305467098,0.047983724266222
26,2016-12-29,Telefonica,2,0.16316000000000005,0.1144098771959834,0.12270999999999999,0.16316000000000005,0.20361,0.08226000000000001,0.24406000000000005,7,0,0.028509057558353312,0.01997846693088645
27,2016-12-29,Tesla,50,0.09936777142857142,0.19246533723871945,0.07627,0.11005,0.22855999999999999,-0.51085,0.41037,12837,8,-0.02329648196410705,0.015324902870927025
