,Timestamp,BAYN.DE
0,2000-01-04,-0.041175914184186535
1,2000-01-05,-0.02690745291992469
2,2000-01-06,0.0034032931317078408
3,2000-01-07,0.04083105450186375
4,2000-01-10,0.03566849011876316
5,2000-01-11,-0.030031007712161717
6,2000-01-12,-0.04420609250449559
7,2000-01-13,-0.006802747322752545
8,2000-01-14,0.023609865639133698
9,2000-01-17,0.027398974188114433
10,2000-01-18,-0.02517921744980134
11,2000-01-19,0.0
12,2000-01-20,-0.01339305733643803
13,2000-01-21,-0.016997576368571465
14,2000-01-24,0.005698021114637797
15,2000-01-25,-0.05368850511350498
16,2000-01-26,-0.0024009615375382154
17,2000-01-27,-0.016970104218462012
18,2000-01-28,0.006093864074323108
19,2000-01-31,-0.030346475679815743
20,2000-02-01,0.0032512220711051754
21,2000-02-02,0.042767666016342076
22,2000-02-03,0.01778351548867274
23,2000-02-04,-0.027398974188114433
24,2000-02-07,-0.026929411878631626
25,2000-02-08,0.07180116605580711
26,2000-02-09,0.011481182373956234
27,2000-02-10,0.015855371789794237
28,2000-02-11,-0.034289073478632304
29,2000-02-14,0.016147986407982096
30,2000-02-15,-0.05769698932085454
31,2000-02-16,0.03220314049463502
32,2000-02-17,0.030060066805800645
33,2000-02-18,0.001820665045489278
34,2000-02-21,-0.013275544020255658
35,2000-02-22,0.01145487897476638
36,2000-02-23,-0.004566217979581122
37,2000-02-24,-0.023149181866965574
38,2000-02-25,0.002339182353172209
39,2000-02-28,0.0011675424560375625
40,2000-02-29,0.021699835769518394
41,2000-03-01,-0.025206560578728165
42,2000-03-02,0.0035067248092097714
43,2000-03-03,-0.02241981811569671
44,2000-03-06,0.0026218582531987167
45,2000-03-07,-0.02996116835012863
46,2000-03-08,-0.0034398068315266705
47,2000-03-09,0.025994418805120656
48,2000-03-10,-0.0255022928109363
49,2000-03-13,0.016105765414853312
50,2000-03-14,0.007235921586176808
51,2000-03-15,0.009805172422004738
52,2000-03-16,0.07073655109177812
53,2000-03-17,0.01758287055786667
54,2000-03-20,-0.006118900210257294
55,2000-03-21,-0.008364565608322216
56,2000-03-22,-0.0064308903302903175
57,2000-03-23,-0.02136112699936854
58,2000-03-24,0.0
59,2000-03-27,0.01376841522191219
60,2000-03-28,0.02741714956230057
61,2000-03-29,0.02306882508280106
62,2000-03-30,-0.0025608208616736405
63,2000-03-31,-0.00042744176756803753
64,2000-04-03,0.0036274444982389298
65,2000-04-04,0.009116993076367486
66,2000-04-05,-0.04048787277373478
67,2000-04-06,-0.026727648905815027
68,2000-04-07,-0.008842592477463551
69,2000-04-10,0.0267401619350065
70,2000-04-11,-0.015642777070453473
71,2000-04-12,0.006286504762820666
72,2000-04-13,-0.002913820284181856
73,2000-04-14,-0.0051761114777897355
74,2000-04-17,-0.015232760153417235
75,2000-04-18,-0.0045924305742097715
76,2000-04-19,-0.01624165632863228
77,2000-04-20,-0.004689340363385863
78,2000-04-21,0.0
79,2000-04-24,0.0
80,2000-04-25,0.030778780387646254
81,2000-04-26,0.01627522361898892
82,2000-04-27,-0.009914457057178527
83,2000-04-28,0.03711949655219282
84,2000-05-01,0.0
85,2000-05-02,-0.03169942908285339
86,2000-05-03,-0.007233304593520451
87,2000-05-04,0.015085279876205782
88,2000-05-05,-0.010106767669774808
89,2000-05-08,-0.008387219063401563
90,2000-05-09,0.0
91,2000-05-10,-0.0098365198930499
92,2000-05-11,0.0011487652038733032
93,2000-05-12,-0.005064467546693763
94,2000-05-15,-0.013476040369048814
95,2000-05-16,0.01509024572359019
96,2000-05-17,-0.012753796062570544
97,2000-05-18,-0.0039752186102361975
98,2000-05-19,-0.003050571414169312
99,2000-05-22,-0.0011757790890118969
100,2000-05-23,0.012625839923157578
101,2000-05-24,0.0034790711190808565
102,2000-05-25,-0.023425760836362386
103,2000-05-26,-0.014083058869029497
104,2000-05-29,0.01360890049125052
105,2000-05-30,0.0026050932435683904
106,2000-05-31,-0.021033280170768
107,2000-06-01,0.009615458699441692
108,2000-06-02,0.005963046888246559
109,2000-06-05,0.0059276996332751075
110,2000-06-06,-0.01813026760426606
111,2000-06-07,0.010774676248135773
112,2000-06-08,-0.01318489674487422
113,2000-06-09,0.022901764286684667
114,2000-06-12,0.0007072969763211034
115,2000-06-13,-0.0042513054110506765
116,2000-06-14,-0.010708014272472255
117,2000-06-15,-0.024214258120594412
118,2000-06-16,-0.03314119173536012
119,2000-06-19,0.010584776242559268
120,2000-06-20,-0.0022587536269234043
121,2000-06-21,-0.01646648985357979
122,2000-06-22,-0.01156082240107592
123,2000-06-23,-0.0038835000263977015
124,2000-06-26,0.005432687013227078
125,2000-06-27,0.003348361145090628
126,2000-06-28,0.025388517749659112
127,2000-06-29,-0.012106074710402925
128,2000-06-30,0.036621354688537
129,2000-07-03,0.011915034577870909
130,2000-07-04,0.01558971494353445
131,2000-07-05,-0.00047607713348618574
132,2000-07-06,-0.01583906402974611
133,2000-07-07,-0.002179441472932364
134,2000-07-10,0.018970433228060468
135,2000-07-11,-0.005246852008262692
136,2000-07-12,0.03731513531101438
137,2000-07-13,0.00046061723522861087
138,2000-07-14,-0.02400208430881845
139,2000-07-17,0.014749184612596
140,2000-07-18,-0.004191901806719578
141,2000-07-19,0.002796552743114855
142,2000-07-20,0.01409613172957025
143,2000-07-21,-0.00875783426640897
144,2000-07-24,0.014934223568127347
145,2000-07-25,0.023217542396248625
146,2000-07-26,-0.0006686727096356648
147,2000-07-27,-0.021864953097775697
148,2000-07-28,0.025426051897811774
149,2000-07-31,0.0024409198849624225
