,Timestamp,Telefonica
0,2018-06-26,0.022930941063917132
1,2018-06-25,0.019950786419348443
2,2018-06-22,-0.0115895336946652
3,2018-06-21,-0.005008357714372469
4,2018-06-20,0.02479465861321639
5,2018-06-19,0.005698021114637797
6,2018-06-18,0.0008113590708789253
7,2018-06-15,-0.0016233769798907893
8,2018-06-14,-0.004886003205625933
9,2018-06-13,0.004886003205625933
10,2018-06-12,-0.008156652073748827
11,2018-06-11,-0.0008193363834023693
12,2018-06-08,-0.00246204473977496
13,2018-06-07,-0.05228847003163306
14,2018-06-06,0.020566277581476555
15,2018-06-05,-0.006808536939653553
16,2018-06-04,0.0344138030315424
17,2018-06-01,0.0016488049901841606
18,2018-05-31,-0.007441125694688466
19,2018-05-30,0.0033140046900372866
20,2018-05-29,-0.015840264509217494
21,2018-05-25,0.047588962823797765
22,2018-05-24,-0.003210275630248116
23,2018-05-23,-0.0032206147000422014
24,2018-05-22,0.0064308903302903175
25,2018-05-21,-0.016970104218461568
26,2018-05-18,-0.0032653090237388938
27,2018-05-17,0.03613399930999872
28,2018-05-16,0.026460687771343583
29,2018-05-15,-0.015480185287899406
30,2018-05-14,0.0
31,2018-05-11,0.023131332023419215
32,2018-05-10,0.009104766992919178
33,2018-05-09,-0.014454416740159903
34,2018-05-08,0.017471010279585197
35,2018-05-07,0.010486987495248012
36,2018-05-04,0.013323661198470838
37,2018-05-03,0.00805570083221685
38,2018-05-02,0.0202172951031665
39,2018-05-01,0.010664871791036923
40,2018-04-30,-0.001415428403330754
41,2018-04-27,0.017550468025837596
42,2018-04-26,-0.0055827081491575115
43,2018-04-25,-0.01055233147334933
44,2018-04-24,0.005641763906667929
45,2018-04-23,0.0035100071136504596
46,2018-04-20,0.006983268602188453
47,2018-04-19,0.011072777491258012
48,2018-04-18,0.011632016202498985
49,2018-04-17,-0.017153079226249535
50,2018-04-16,-0.022394217862004684
51,2018-04-13,0.0007074637719903798
52,2018-04-12,0.024451095864164163
53,2018-04-11,0.04123598748828794
54,2018-04-10,-0.003981425299185215
55,2018-04-09,-0.014735698653752571
56,2018-04-06,0.016728392770462897
57,2018-04-05,0.015146815759985888
58,2018-04-04,0.006514681021193791
59,2018-04-03,-0.01110034251251335
60,2018-04-02,0.003931853033900534
61,2018-03-29,0.004567707778555086
62,2018-03-28,-0.035114571569685005
63,2018-03-27,0.020027371650423564
64,2018-03-26,-0.005966209278570833
65,2018-03-23,-0.02150620522096336
66,2018-03-22,0.004067802219325234
67,2018-03-21,0.016107730815932975
68,2018-03-20,-0.006010034784889484
69,2018-03-19,0.020550938707401212
70,2018-03-16,-0.009891277478742744
71,2018-03-15,0.001986097971629519
72,2018-03-14,0.026755266409208556
73,2018-03-13,0.0006437077789058776
74,2018-03-12,0.015959483328049195
75,2018-03-09,0.01196111207057804
76,2018-03-08,0.002500001302084609
77,2018-03-07,0.006222795438269202
78,2018-03-06,0.007416597655049539
79,2018-03-05,-0.0024660924951938057
80,2018-03-02,-0.018063399888642806
81,2018-03-01,0.003137749671967338
82,2018-02-28,-0.018337535653733195
83,2018-02-27,0.01457105285825655
84,2018-02-26,0.02054227230031369
85,2018-02-23,-0.0018501392881615786
86,2018-02-22,-0.030713789970808314
87,2018-02-21,0.010133082270787686
88,2018-02-20,0.022430846988182207
89,2018-02-16,0.013464095684881272
90,2018-02-15,0.00606062461169099
91,2018-02-14,-0.00606062461169099
92,2018-02-13,-0.016549565581035264
93,2018-02-12,0.001852424117239071
94,2018-02-09,-0.026251507480034242
95,2018-02-08,0.0081993521486865
96,2018-02-07,0.03031472468576224
97,2018-02-06,0.030605449076078095
98,2018-02-05,-0.04719569133627477
99,2018-02-02,0.028704260783400937
100,2018-02-01,0.03490446019420368
101,2018-01-31,-0.014051753455650129
102,2018-01-30,-0.017246933601054337
103,2018-01-29,0.0005997001678976766
104,2018-01-26,0.0125113338891083
105,2018-01-25,-0.0065340297806484315
106,2018-01-24,-0.011387596836707203
107,2018-01-23,-0.06860544977357597
108,2018-01-22,0.014739132572283431
109,2018-01-19,-0.016677743841784665
110,2018-01-18,0.02301891918023191
111,2018-01-17,-0.0006323111181272267
112,2018-01-16,-0.012090506809840917
113,2018-01-12,0.006381642589520897
114,2018-01-11,-0.02446999106195058
115,2018-01-10,-0.009168368086879486
116,2018-01-09,0.020834086902842053
117,2018-01-08,-0.005815848380003263
118,2018-01-05,-0.0006482982398861026
119,2018-01-04,-0.007159158465591009
120,2018-01-03,-0.017792891147898615
121,2018-01-02,0.009265453445790328
122,2017-12-29,-0.02332661581764306
123,2017-12-28,-0.0013495278701336488
