,Timestamp,Apple
0,2018-06-26,-0.004166334517364589
1,2018-06-25,-0.012329670651976876
2,2018-06-22,0.014982982077286877
3,2018-06-21,0.0029159262520552787
4,2018-06-20,0.005592013711790855
5,2018-06-19,-0.004352622471365919
6,2018-06-18,0.01629178998068248
7,2018-06-15,0.000529689084898699
8,2018-06-14,0.010325663336100632
9,2018-06-13,-0.0005242464078127895
10,2018-06-12,0.008251130419385966
11,2018-06-11,-0.005475750950877156
12,2018-06-08,0.0024547579767162375
13,2018-06-07,0.009139122702801927
14,2018-06-06,0.0026842882109958666
15,2018-06-05,-0.0034599430317960866
16,2018-06-04,-0.007685554785354043
17,2018-06-01,-0.008323130205774909
18,2018-05-31,-0.01787324500830767
19,2018-05-30,0.0033656574763014646
20,2018-05-29,0.00213106100895466
21,2018-05-25,0.0036124136181117095
22,2018-05-24,-0.0022828029980850317
23,2018-05-23,0.0011155083359071227
24,2018-05-22,-0.006391159377337807
25,2018-05-21,0.0025080725012669447
26,2018-05-18,-0.007059985467020802
27,2018-05-17,0.003643186456606884
28,2018-05-16,0.0063438120897503225
29,2018-05-15,-0.009289480074079037
30,2018-05-14,0.009130045534906372
31,2018-05-11,0.0023358294848270234
32,2018-05-10,0.007659229794446887
33,2018-05-09,-0.014202676469313502
34,2018-05-08,-0.0070164450567755665
35,2018-05-07,-0.004795138629561713
36,2018-05-04,-0.007208898668289443
37,2018-05-03,-0.038483347039363736
38,2018-05-02,-0.0018106721407100679
39,2018-05-01,-0.04322714241017156
40,2018-04-30,-0.022970264631496207
41,2018-04-27,-0.017950295755479573
42,2018-04-26,0.011637296763083782
43,2018-04-25,-0.003476991333453583
44,2018-04-24,-0.004347966064693232
45,2018-04-23,0.014016927646067323
46,2018-04-20,0.0029006546806380484
47,2018-04-19,0.041835239160754156
48,2018-04-18,0.028749413285985348
49,2018-04-17,0.0022466870829784824
50,2018-04-16,-0.013670212315886943
51,2018-04-13,-0.006218819072085324
52,2018-04-12,-0.0033823519504778687
53,2018-04-11,-0.009810223521535377
54,2018-04-10,0.004686288191078525
55,2018-04-09,-0.01864312661680767
56,2018-04-06,-0.009869181543686878
57,2018-04-05,0.025911526460437706
58,2018-04-04,-0.006910395955744164
59,2018-04-03,-0.01894174279199401
60,2018-04-02,-0.010206911067964342
61,2018-03-29,0.006577790863895316
62,2018-03-28,-0.0077784153327691286
63,2018-03-27,0.011110561698051136
64,2018-03-26,0.02597548640326064
65,2018-03-23,-0.046379458781482086
66,2018-03-22,0.023428975426368126
67,2018-03-21,0.014230511812700186
68,2018-03-20,0.022915204301420466
69,2018-03-19,0.0003423289814907804
70,2018-03-16,0.015397111603596692
71,2018-03-15,0.003532680938633348
72,2018-03-14,-0.0011761742093545635
73,2018-03-13,0.008537760073047629
74,2018-03-12,0.009676870558091188
75,2018-03-09,-0.009621307285400782
76,2018-03-08,-0.017035041550562013
77,2018-03-07,-0.010853304252496088
78,2018-03-06,0.00932619782184485
79,2018-03-05,0.0008486803530693976
80,2018-03-02,-0.003455800397018649
81,2018-03-01,-0.006890491657125075
82,2018-02-28,0.017671506529986836
83,2018-02-27,0.0015146843096749407
84,2018-02-26,0.003246029266140482
85,2018-02-23,-0.01957915112339581
86,2018-02-22,-0.017241806434506124
87,2018-02-21,-0.008324407007214596
88,2018-02-20,0.004549173831642328
89,2018-02-16,0.0033693537161978426
90,2018-02-15,0.003242432346845625
91,2018-02-14,-0.03302685883333911
92,2018-02-13,-0.018269478022505226
93,2018-02-12,-0.009967977351814206
94,2018-02-09,-0.0394887104650774
95,2018-02-08,-0.008088373791760972
96,2018-02-07,0.02790228358859448
97,2018-02-06,0.021639558468579345
98,2018-02-05,-0.04094212277648257
99,2018-02-02,0.025301832394990065
100,2018-02-01,0.04435965484807802
101,2018-01-31,-0.0020882439496965333
102,2018-01-30,-0.002751197907586267
103,2018-01-29,0.005911700255126995
104,2018-01-26,0.02091571812799664
105,2018-01-25,-0.0023349494001099202
106,2018-01-24,0.018012243846866838
107,2018-01-23,0.016056827352048053
108,2018-01-22,-0.00022596316896539292
109,2018-01-19,0.008214753898176497
110,2018-01-18,0.004472779457210585
111,2018-01-17,-0.0008929568625495321
112,2018-01-16,-0.01638135086412884
113,2018-01-12,0.005095119718170338
114,2018-01-11,-0.010273382633497086
115,2018-01-10,-0.005664116753620441
116,2018-01-09,0.00022947622153335345
117,2018-01-08,0.00011471836653687006
118,2018-01-05,0.0037212008018538967
119,2018-01-04,-0.011320984054957073
120,2018-01-03,-0.004634197020902064
121,2018-01-02,0.00017417051337265121
122,2017-12-29,-0.017746226941033783
123,2017-12-28,0.010872546938713867
124,2017-12-27,-0.002809648301129286
125,2017-12-26,-0.00017586540479719304
126,2017-12-22,0.02569734549528402
127,2017-12-21,0.0
128,2017-12-20,-0.003778342026405035
129,2017-12-19,0.0010891686135048317
130,2017-12-18,0.010713574095455591
131,2017-12-15,-0.013984645274161878
132,2017-12-14,-0.010110141288439678
133,2017-12-13,0.00029028419025856067
134,2017-12-12,-0.00331424555484805
135,2017-12-11,0.005633490520908779
136,2017-12-08,-0.019296587521308695
137,2017-12-07,-0.0002952552503074912
138,2017-12-06,-0.0018325308825861697
139,2017-12-05,0.0037206598362535814
140,2017-12-04,0.0009427292708572566
141,2017-12-01,0.007334637546366984
142,2017-11-30,0.0046660918722283284
143,2017-11-29,-0.013887077537484416
144,2017-11-28,0.020961211178549988
145,2017-11-27,0.005876269933718703
146,2017-11-24,0.005042123785901964
147,2017-11-22,-5.715428801611466e-05
