,Timestamp,AAPL
1,2000-01-04,-0.08810021488475073
2,2000-01-05,0.01452810056290943
3,2000-01-06,-0.09051400754083172
4,2000-01-07,0.0462807525640061
5,2000-01-10,-0.01774444529907182
6,2000-01-11,-0.052505497377930865
7,2000-01-12,-0.06181805604782031
8,2000-01-13,0.10404068647016729
9,2000-01-14,0.03743020237949324
10,2000-01-18,0.03425327529091149
11,2000-01-19,0.024894397211783215
12,2000-01-20,0.06309463012937844
13,2000-01-21,-0.019483735416322645
14,2000-01-24,-0.04652429370060851
15,2000-01-25,0.054933718817837374
16,2000-01-26,-0.018522378122677985
17,2000-01-27,-0.0017257827072691967
18,2000-01-28,-0.07923999962683048
19,2000-01-31,0.020743792945221884
20,2000-02-01,-0.03431709292412943
21,2000-02-02,-0.014468251979806723
22,2000-02-03,0.04453536265448221
23,2000-02-04,0.04439705026286589
24,2000-02-07,0.05459339860417334
25,2000-02-08,0.0070764284289195345
26,2000-02-09,-0.019781734330840628
27,2000-02-10,0.0077835170949853705
28,2000-02-11,-0.04275116695266412
29,2000-02-14,0.06289924722749252
30,2000-02-15,0.02717257591524369
31,2000-02-16,-0.04187296676623031
32,2000-02-17,0.006550527812013485
33,2000-02-18,-0.03202113311096344
34,2000-02-22,0.02275047024744925
35,2000-02-23,0.021212653173667384
36,2000-02-24,-0.009073296205674986
37,2000-02-25,-0.04283139047699791
38,2000-02-28,0.025759406578350408
39,2000-02-29,0.012024544760447675
40,2000-03-01,0.12829391803322387
41,2000-03-02,-0.0658951824235583
42,2000-03-03,0.04800921918636014
43,2000-03-06,-0.018211705982870363
44,2000-03-07,-0.022691672057266743
45,2000-03-08,-0.007105841146223035
46,2000-03-09,0.002047083621724788
47,2000-03-10,0.028227680624866913
48,2000-03-13,-0.03594655619702003
49,2000-03-14,-0.05996022300851411
50,2000-03-15,0.017354014693151676
51,2000-03-16,0.04466492358112628
52,2000-03-17,0.027905769253709245
53,2000-03-20,-0.016129381929884445
54,2000-03-21,0.09264587982686212
55,2000-03-22,0.06630163911927678
56,2000-03-23,-0.020175815723900925
57,2000-03-24,-0.018714831926411435
58,2000-03-27,0.006253389650329844
59,2000-03-28,-0.0030858684647876444
60,2000-03-29,-0.023195135935293543
61,2000-03-30,-0.07791780293864381
62,2000-03-31,0.07696104113612812
63,2000-04-03,-0.018579606990391184
64,2000-04-04,-0.0460521860520311
65,2000-04-05,0.023828206422838782
66,2000-04-06,-0.0406206802248219
67,2000-04-07,0.051073604149900476
68,2000-04-10,-0.05259245011917013
69,2000-04-11,-0.04549958407136678
70,2000-04-12,-0.08917531925523559
71,2000-04-13,0.04089155731809946
72,2000-04-14,-0.017192908434959797
73,2000-04-17,0.1018951457072701
74,2000-04-18,0.023930311586398467
75,2000-04-19,-0.0463811504633691
76,2000-04-20,-0.018751330696605173
77,2000-04-24,0.013619293938176291
78,2000-04-25,0.06279945797621789
79,2000-04-26,-0.05609995812409885
80,2000-04-27,0.043867389688464264
81,2000-04-28,-0.021451322926321126
82,2000-05-01,0.0020131262586522425
83,2000-05-02,-0.05319612356514547
84,2000-05-03,-0.02412859080333085
85,2000-05-04,-0.038720230037615266
86,2000-05-05,0.021715700750730704
87,2000-05-08,-0.026878521873856087
88,2000-05-09,-0.04342860952020988
89,2000-05-10,-0.05989579983892934
90,2000-05-11,0.03463635363935946
91,2000-05-12,0.0457238795066468
92,2000-05-15,-0.0634859872200142
93,2000-05-16,0.04538976417999585
94,2000-05-17,-0.041733091626947605
95,2000-05-18,-0.006134988567515265
96,2000-05-19,-0.06934741855678883
97,2000-05-22,-0.044152000927442536
98,2000-05-23,-0.0470072315235317
99,2000-05-24,0.0216723179722349
100,2000-05-25,-0.004801106616044493
101,2000-05-26,-0.010366367883025696
102,2000-05-30,0.013683879362467621
103,2000-05-31,-0.04150747381134856
104,2000-06-01,0.059166977335660675
105,2000-06-02,0.037873306706447174
106,2000-06-05,-0.013596772257172596
107,2000-06-06,0.01694035515966874
108,2000-06-07,0.03896391100135865
109,2000-06-08,-0.018289687859407877
110,2000-06-09,0.009865739130887619
111,2000-06-12,-0.04879538611518175
112,2000-06-13,0.03565459255412318
113,2000-06-14,-0.04391318708992831
114,2000-06-15,0.021115603194750143
115,2000-06-16,-0.012857008658945013
116,2000-06-19,0.05784051718068639
117,2000-06-20,0.04680694686038844
118,2000-06-21,-0.598870081899447
119,2000-06-22,-0.03437895707942973
120,2000-06-23,-0.03907932779982426
121,2000-06-26,0.046124221600938764
122,2000-06-27,-0.044964128663408154
123,2000-06-28,0.050674745637786955
124,2000-06-29,-0.06038355976474774
125,2000-06-30,0.021809221061048323
126,2000-07-03,0.017599091755103657
127,2000-07-05,-0.03202103194311201
128,2000-07-06,0.0034802819351393843
129,2000-07-07,0.04951599695656839
130,2000-07-10,0.048230194953105876
131,2000-07-11,-0.003331290886479543
132,2000-07-12,0.03350339257072932
133,2000-07-13,-0.04126083626822563
134,2000-07-14,0.020843210116402666
135,2000-07-17,0.010689756965266639
136,2000-07-18,-0.018345962799715565
137,2000-07-19,-0.08300195821315492
138,2000-07-20,0.04526834838039795
139,2000-07-21,-0.028891511778620593
140,2000-07-24,-0.09532885062836227
141,2000-07-25,0.027748615809018773
142,2000-07-26,0.0
143,2000-07-27,0.03802143257779944
144,2000-07-28,-0.07360514001511209
145,2000-07-31,0.05045460703932525
146,2000-08-01,-0.029966285369606105
147,2000-08-02,-0.0426742462962828
148,2000-08-03,0.015748356968139365
149,2000-08-04,-0.013000812177251575
150,2000-08-07,0.011750030275598622
