,Timestamp,Tesla
0,2018-06-26,-0.005365695831595296
1,2018-06-25,-0.026638217503022865
2,2018-06-22,0.0018600749392785332
3,2018-06-21,0.04076084707035399
4,2018-06-20,0.041458320467175014
5,2018-06-19,-0.0270593058713402
6,2018-06-18,0.05055128040279211
7,2018-06-15,-0.03473600254243436
8,2018-06-14,-0.0012571765474262975
9,2018-06-13,-0.03684402501114814
10,2018-06-12,-0.005846864158597143
11,2018-06-11,-0.03162353992553424
12,2018-06-08,-0.04445449997569195
13,2018-06-07,-0.004954645244219513
14,2018-06-06,0.010730290654799468
15,2018-06-05,-0.0929873710074558
16,2018-06-04,0.01908643171251434
17,2018-06-01,-0.016719160686771595
18,2018-05-31,-0.024595811025365677
19,2018-05-30,0.024253075305521676
20,2018-05-29,-0.027665627650665492
21,2018-05-25,-0.01745480762980378
22,2018-05-24,-0.0035926031096327193
23,2018-05-23,0.004381246683631268
24,2018-05-22,-0.014655185767767698
25,2018-05-21,0.03389064292195165
26,2018-05-18,-0.02733062809518927
27,2018-05-17,0.027506365754464746
28,2018-05-16,0.006794884467156592
29,2018-05-15,-0.008060885480247748
30,2018-05-14,0.027043217054237623
31,2018-05-11,0.0306585231681904
32,2018-05-10,0.013067767795679863
33,2018-05-09,0.005981680607068718
34,2018-05-08,-0.016031354142901577
35,2018-05-07,0.0026457666655819168
36,2018-05-04,-0.02908759841604258
37,2018-05-03,-0.033328351745087303
38,2018-05-02,0.057050988293073424
39,2018-05-01,-0.004092707062073764
40,2018-04-30,-0.020276199002784878
41,2018-04-27,0.0005952634216335184
42,2018-04-26,-0.029662862743638385
43,2018-04-25,-0.016921116592280683
44,2018-04-24,0.009820162228173501
45,2018-04-23,-0.0003175555307812772
46,2018-04-20,0.023954702718793186
47,2018-04-19,0.033340938846860624
48,2018-04-18,-0.022682670401763083
49,2018-04-17,-0.019482923847373712
50,2018-04-16,0.012161144867749663
51,2018-04-13,0.030870509859889594
52,2018-04-12,-0.0210633270848124
53,2018-04-11,0.023025840396181607
54,2018-04-10,0.012450006428159632
55,2018-04-09,-0.050619864618952626
56,2018-04-06,0.032738593485942324
57,2018-04-05,0.02122323551603067
58,2018-04-04,-0.06339651570444005
59,2018-04-03,-0.07004142508976052
60,2018-04-02,-0.05789967192297407
61,2018-03-29,0.05265287354309578
62,2018-03-28,-0.0318784032239714
63,2018-03-27,0.07975022710797841
64,2018-03-26,0.08576289635961132
65,2018-03-23,-0.008716954093450191
66,2018-03-22,0.024762171787298115
67,2018-03-21,0.023753174684038925
68,2018-03-20,-0.01907310481679758
69,2018-03-19,0.009645810315208614
70,2018-03-16,0.024540142496774386
71,2018-03-15,0.013138762311089458
72,2018-03-14,0.003158397670233626
73,2018-03-13,0.04551475953715123
74,2018-03-12,0.010678795013156162
75,2018-03-09,-0.05454167286541267
76,2018-03-08,0.0058817424657808814
77,2018-03-07,0.009676519411254247
78,2018-03-06,-0.012414996704557701
79,2018-03-05,0.015569810408078588
80,2018-03-02,0.005295687574710328
81,2018-03-01,-0.012581803989379914
82,2018-02-28,0.03599848633227953
83,2018-02-27,0.0228523740498483
84,2018-02-26,0.018153827837124048
85,2018-02-23,-0.015138349903509152
86,2018-02-22,-0.01684322709045638
87,2018-02-21,-0.037886998560991536
88,2018-02-20,0.0044007435520247995
89,2018-02-16,0.00214842084248712
90,2018-02-15,-0.00425656488728432
91,2018-02-14,-0.03582176948737281
92,2018-02-13,0.004179766755190606
93,2018-02-12,-0.02480616411527059
94,2018-02-09,-0.01696119875043056
95,2018-02-08,0.015376311896553752
96,2018-02-07,0.09024188591176774
97,2018-02-06,-0.032493248448031586
98,2018-02-05,-0.0025183643949961976
99,2018-02-02,0.03138184479244899
100,2018-02-01,0.015873349156289684
101,2018-01-31,0.014384238004407024
102,2018-01-30,-0.024253827664835192
103,2018-01-29,0.010670986423316542
104,2018-01-26,-0.019296361169585552
105,2018-01-25,-0.015312794614854575
106,2018-01-24,0.024140566320077994
107,2018-01-23,0.019752173624119074
108,2018-01-22,-0.003492585363272127
109,2018-01-19,-0.004390097988433261
110,2018-01-18,-0.015693032861824108
111,2018-01-17,0.007488505929857503
112,2018-01-16,-0.020663696146704602
113,2018-01-12,-0.011356365024426829
114,2018-01-11,0.005132247941450174
115,2018-01-10,-0.009364616931042846
116,2018-01-09,-0.003320920343272249
117,2018-01-08,0.008118235900973048
118,2018-01-05,-0.060754679915429044
119,2018-01-04,-0.00621041286323365
120,2018-01-03,0.008324545200138367
121,2018-01-02,0.010285769129820821
122,2017-12-29,-0.029058194405856774
123,2017-12-28,0.012797162085949054
124,2017-12-27,-0.011866167941752437
125,2017-12-26,0.017967506714318127
126,2017-12-22,0.02462419549668038
127,2017-12-21,0.019669970112296653
128,2017-12-20,-0.008113389141940708
129,2017-12-19,0.006423485909189175
130,2017-12-18,0.023196108453714892
131,2017-12-15,0.013424987652975062
132,2017-12-14,-0.01632114193217582
133,2017-12-13,0.003368200312453773
134,2017-12-12,0.005881850913228348
135,2017-12-11,-0.03618629284235908
136,2017-12-08,-0.04279890500927408
137,2017-12-07,-0.012420933353034513
138,2017-12-06,0.006469197901786572
139,2017-12-05,-0.030993144598813416
140,2017-12-04,0.004926927358599009
141,2017-12-01,0.004348330458318728
142,2017-11-30,0.0075400922732873354
143,2017-11-29,-0.00425056205436114
144,2017-11-28,0.03203012616143752
145,2017-11-27,-0.002333061150332938
146,2017-11-24,-0.003985077068402454
147,2017-11-22,-0.009392730042872444
148,2017-11-21,0.01652930195121005
149,2017-11-20,-0.028954221184891438
