,Timestamp,Total
0,2000-01-04,-0.003729028559866787
1,2000-01-05,0.008062059170928393
2,2000-01-06,-0.011805045449762908
3,2000-01-07,0.008092169897336188
4,2000-01-10,0.01538018628780602
5,2000-01-11,-0.01538018628780602
6,2000-01-12,-0.015620436318127595
7,2000-01-13,0.015620436318127595
8,2000-01-14,-0.020038240915736694
9,2000-01-18,0.01568905729723502
10,2000-01-19,0.0
11,2000-01-20,-0.02713956408523055
12,2000-01-21,0.011450506787995529
13,2000-01-24,0.020038240915736694
14,2000-01-25,0.06015042019891137
15,2000-01-26,0.0
16,2000-01-27,-0.03384116337891507
17,2000-01-28,0.03384116337891507
18,2000-01-31,-0.03747093142949387
19,2000-02-01,0.1111618372219132
20,2000-02-02,-0.016954193361688574
21,2000-02-03,0.013695092160781464
22,2000-02-04,-0.0208913590313764
23,2000-02-07,0.0
24,2000-02-08,-0.02076976148638554
25,2000-02-09,-0.025274177015020882
26,2000-02-10,-0.014650130170849707
27,2000-02-11,-0.01846939601907227
28,2000-02-14,-0.004218144247722488
29,2000-02-15,0.0
30,2000-02-16,-0.0036297680505787966
31,2000-02-17,-0.0036429912785007623
32,2000-02-18,0.015092348045709691
33,2000-02-22,-0.049749281854754024
34,2000-02-23,0.026717960813932518
35,2000-02-24,-0.0073846489433782025
36,2000-02-25,0.01896661321699078
37,2000-02-28,0.0
38,2000-02-29,-0.038299925087545095
39,2000-03-01,0.019333311870554315
40,2000-03-02,-0.019333311870554315
41,2000-03-03,0.038299925087545095
42,2000-03-06,-0.015267472130788384
43,2000-03-07,-0.019261235413677635
44,2000-03-08,-0.003771217543079075
45,2000-03-09,0.007528266420791407
46,2000-03-10,-0.007528266420791407
47,2000-03-13,-0.015868311385604628
48,2000-03-14,-0.012230599836755118
49,2000-03-15,0.019878820675012232
50,2000-03-16,0.019491343246973436
51,2000-03-17,-0.007500035156546847
52,2000-03-20,0.007500035156546847
53,2000-03-21,0.004349183618501673
54,2000-03-22,-0.01184921877504852
55,2000-03-23,0.0
56,2000-03-24,0.0
57,2000-03-27,0.0
58,2000-03-28,-0.011991308090426589
59,2000-03-29,0.0038022859497384154
60,2000-03-30,-0.0038022859497384154
61,2000-03-31,0.011991308090426589
62,2000-04-03,0.07199963897395989
63,2000-04-04,-0.04905289570310645
64,2000-04-05,0.019429876571913862
65,2000-04-06,0.044111826632409645
66,2000-04-07,0.010303468369724733
67,2000-04-10,0.003978408202808481
68,2000-04-11,0.006783519511645686
69,2000-04-12,-0.006783519511645686
70,2000-04-13,-0.028770684073750274
71,2000-04-14,0.04285145740933949
72,2000-04-17,0.027580347182172726
73,2000-04-18,0.006507615156738034
74,2000-04-19,0.007002452529218051
75,2000-04-20,-0.0037644572554427214
76,2000-04-24,-0.05880784642858572
77,2000-04-25,0.02148188881589963
78,2000-04-26,0.06390912848068764
79,2000-04-27,0.016649708236564198
80,2000-04-28,0.028486158071072243
81,2000-05-01,0.0
82,2000-05-02,-0.012616871882658032
83,2000-05-03,0.015621380902956616
84,2000-05-04,-0.006018072325562951
85,2000-05-05,-0.0065607098812972
86,2000-05-08,-0.0030425986960964657
87,2000-05-09,0.012616871882658032
88,2000-05-10,-0.03521670379989894
89,2000-05-11,0.01954794755457634
90,2000-05-12,-0.0035723436816983423
91,2000-05-15,0.0035723436816983423
92,2000-05-16,-0.012817401825749641
93,2000-05-17,-0.006730545728826698
94,2000-05-18,0.012903404835907573
95,2000-05-19,0.0
96,2000-05-22,0.015772395140758455
97,2000-05-23,-0.041747881544019094
98,2000-05-24,-0.01645035769896852
99,2000-05-25,-0.02382354143897114
100,2000-05-26,0.04027389913793966
101,2000-05-30,0.016184117273982945
102,2000-05-31,0.022530394906707496
103,2000-06-01,0.003033369363328653
104,2000-06-02,0.01602437894124087
105,2000-06-05,0.00297619267304583
106,2000-06-06,-0.00645964979095659
107,2000-06-07,-0.009013581305361562
108,2000-06-08,-0.029091104788004696
109,2000-06-09,0.003618510022196819
110,2000-06-12,-0.003618510022196819
111,2000-06-13,-0.016184117273982945
112,2000-06-14,-0.003162891408508006
113,2000-06-15,0.0
114,2000-06-16,0.009981695694229131
115,2000-06-19,-0.03673556532371336
116,2000-06-20,-0.013650225598416998
117,2000-06-21,-0.024486476608606367
118,2000-06-22,0.031061842764994463
119,2000-06-23,-0.003282278657918525
120,2000-06-26,-0.017132223397850588
121,2000-06-27,-0.014033348458955874
122,2000-06-28,0.01737224972447038
123,2000-06-29,-0.013986241974739855
124,2000-06-30,-0.11132506010243493
125,2000-07-03,0.0610690333488213
126,2000-07-05,0.05363060813375897
127,2000-07-06,-0.006760589129875871
128,2000-07-07,0.014033348458955874
129,2000-07-10,-0.024831975701181452
130,2000-07-11,-0.006880761092222798
131,2000-07-12,0.024439977464324247
132,2000-07-13,0.003922672443798181
133,2000-07-14,0.023764588941050935
134,2000-07-17,0.0
135,2000-07-18,-0.017075600790254608
136,2000-07-19,0.010500234633866512
137,2000-07-20,0.010391124397509888
138,2000-07-21,0.0032591012009071108
139,2000-07-24,0.010250966485048973
140,2000-07-25,-0.017325825927077876
141,2000-07-26,-0.003282278657918525
142,2000-07-27,0.007098036899040316
143,2000-07-28,-0.007098036899040316
144,2000-07-31,-0.010465532039661163
145,2000-08-01,0.0
146,2000-08-02,0.024071184095439513
147,2000-08-03,-0.024071184095439513
148,2000-08-04,0.0
149,2000-08-07,0.0038684767779200158
150,2000-08-08,-0.013885255021391263
151,2000-08-09,0.003350086885281822
152,2000-08-10,-0.021409268423679517
153,2000-08-11,-0.003422707277501935
