,Timestamp,005930.KS
0,2000-01-04,6110
1,2000-01-05,5580
2,2000-01-06,5620
3,2000-01-07,5540
4,2000-01-10,5770
5,2000-01-11,5770
6,2000-01-12,5720
7,2000-01-13,5710
8,2000-01-14,5830
9,2000-01-17,6100
10,2000-01-18,6100
11,2000-01-19,5960
12,2000-01-20,6040
13,2000-01-21,5880
14,2000-01-24,5700
15,2000-01-25,5440
16,2000-01-26,5480
17,2000-01-27,5520
18,2000-01-28,5820
19,2000-01-31,5580
20,2000-02-01,5320
21,2000-02-02,5250
22,2000-02-03,5130
23,2000-02-04,5130
24,2000-02-07,5240
25,2000-02-08,5430
26,2000-02-09,5720
27,2000-02-10,5760
28,2000-02-11,5700
29,2000-02-14,5380
30,2000-02-15,5200
31,2000-02-16,5000
32,2000-02-17,5080
33,2000-02-18,5300
34,2000-02-21,5070
35,2000-02-22,5120
36,2000-02-23,5140
37,2000-02-24,5070
38,2000-02-25,5120
39,2000-02-28,4800
40,2000-02-29,5120
41,2000-03-01,5120
42,2000-03-02,5880
43,2000-03-03,6000
44,2000-03-06,5640
45,2000-03-07,5620
46,2000-03-08,5920
47,2000-03-09,5620
48,2000-03-10,5540
49,2000-03-13,5180
50,2000-03-14,5210
51,2000-03-15,5400
52,2000-03-16,5400
53,2000-03-17,5480
54,2000-03-20,5660
55,2000-03-21,5880
56,2000-03-22,6200
57,2000-03-23,6200
58,2000-03-24,6800
59,2000-03-27,6800
60,2000-03-28,7030
61,2000-03-29,7660
62,2000-03-30,7050
63,2000-03-31,6700
64,2000-04-03,7100
65,2000-04-04,6800
66,2000-04-05,6800
67,2000-04-06,6680
68,2000-04-07,7200
69,2000-04-10,7300
70,2000-04-11,7100
71,2000-04-12,6910
72,2000-04-13,6910
73,2000-04-14,6260
74,2000-04-17,5520
75,2000-04-18,6040
76,2000-04-19,6000
77,2000-04-20,6020
78,2000-04-21,6050
79,2000-04-24,5800
80,2000-04-25,5640
81,2000-04-26,5600
82,2000-04-27,5400
83,2000-04-28,6000
84,2000-05-01,6000
85,2000-05-02,6280
86,2000-05-03,6180
87,2000-05-04,6180
88,2000-05-05,6180
89,2000-05-08,6560
90,2000-05-09,6560
91,2000-05-10,6350
92,2000-05-11,6350
93,2000-05-12,6160
94,2000-05-15,6440
95,2000-05-16,6800
96,2000-05-17,6920
97,2000-05-18,6800
98,2000-05-19,6900
99,2000-05-22,6670
100,2000-05-23,6380
101,2000-05-24,6200
102,2000-05-25,6000
103,2000-05-26,5600
104,2000-05-29,5460
105,2000-05-30,5460
106,2000-05-31,6160
107,2000-06-01,6300
108,2000-06-02,6620
109,2000-06-05,6740
110,2000-06-06,6740
111,2000-06-07,6800
112,2000-06-08,6530
113,2000-06-09,7020
114,2000-06-12,7190
115,2000-06-13,7060
116,2000-06-14,7640
117,2000-06-15,7000
118,2000-06-16,6740
119,2000-06-19,6700
120,2000-06-20,7140
121,2000-06-21,7080
122,2000-06-22,7040
123,2000-06-23,7000
124,2000-06-26,7210
125,2000-06-27,7310
126,2000-06-28,7520
127,2000-06-29,7490
128,2000-06-30,7380
129,2000-07-03,7500
130,2000-07-04,7350
131,2000-07-05,7430
132,2000-07-06,7300
133,2000-07-07,7360
134,2000-07-10,7600
135,2000-07-11,7450
136,2000-07-12,7640
137,2000-07-13,7760
138,2000-07-14,7550
139,2000-07-17,7550
140,2000-07-18,7460
141,2000-07-19,7460
142,2000-07-20,6900
143,2000-07-21,6920
144,2000-07-24,6380
145,2000-07-25,6280
146,2000-07-26,6550
147,2000-07-27,6230
148,2000-07-28,5730
149,2000-07-31,5900
150,2000-08-01,6220
151,2000-08-02,6070
152,2000-08-03,6030
153,2000-08-04,5920
154,2000-08-07,5580
155,2000-08-08,5580
156,2000-08-09,6000
157,2000-08-10,6160
158,2000-08-11,5960
159,2000-08-14,6020
160,2000-08-15,6020
161,2000-08-16,6420
162,2000-08-17,6440
163,2000-08-18,6200
164,2000-08-21,6270
165,2000-08-22,6460
166,2000-08-23,6190
167,2000-08-24,6220
168,2000-08-25,6400
169,2000-08-28,6330
170,2000-08-29,6220
171,2000-08-30,6030
172,2000-08-31,5470
173,2000-09-01,5540
174,2000-09-04,5340
175,2000-09-05,5150
176,2000-09-06,5150
177,2000-09-07,4790
178,2000-09-08,4880
179,2000-09-11,4880
180,2000-09-12,4880
181,2000-09-13,4880
182,2000-09-14,4710
183,2000-09-15,4350
184,2000-09-18,3970
185,2000-09-19,4160
186,2000-09-20,4600
187,2000-09-21,4400
188,2000-09-22,3800
189,2000-09-25,4090
190,2000-09-26,4000
191,2000-09-27,4030
192,2000-09-28,4060
193,2000-09-29,4040
194,2000-10-02,3810
195,2000-10-03,3810
196,2000-10-04,3890
197,2000-10-05,3940
198,2000-10-06,3900
199,2000-10-09,3690
200,2000-10-10,3660
201,2000-10-11,3220
202,2000-10-12,3140
203,2000-10-13,3030
204,2000-10-16,3030
205,2000-10-17,2740
206,2000-10-18,2730
207,2000-10-19,2900
208,2000-10-20,3330
209,2000-10-23,3200
210,2000-10-24,3340
211,2000-10-25,3210
212,2000-10-26,2890
213,2000-10-27,2890
214,2000-10-30,2750
215,2000-10-31,2850
216,2000-11-01,3260
217,2000-11-02,3320
218,2000-11-03,3440
219,2000-11-06,3510
220,2000-11-07,3440
221,2000-11-08,3410
222,2000-11-09,3400
223,2000-11-10,3380
224,2000-11-13,3150
225,2000-11-14,3290
226,2000-11-15,3390
227,2000-11-16,3280
228,2000-11-17,3220
229,2000-11-20,3100
230,2000-11-21,3160
231,2000-11-22,3140
232,2000-11-23,3210
233,2000-11-24,3400
234,2000-11-27,3780
235,2000-11-28,3520
236,2000-11-29,3220
237,2000-11-30,3240
238,2000-12-01,3180
239,2000-12-04,3100
240,2000-12-05,3240
241,2000-12-06,3210
242,2000-12-07,3260
243,2000-12-08,3370
244,2000-12-11,3580
245,2000-12-12,3500
246,2000-12-13,3780
247,2000-12-14,3620
248,2000-12-15,3490
249,2000-12-18,3560
250,2000-12-19,3530
251,2000-12-20,3340
252,2000-12-21,3240
253,2000-12-22,3140
254,2000-12-25,0
255,2000-12-26,3160
256,2000-12-27,3160
257,2000-12-28,3160
258,2000-12-29,3160
259,2001-01-01,3160
260,2001-01-02,3350
261,2001-01-03,3370
262,2001-01-04,3780
263,2001-01-05,3900
264,2001-01-08,3880
265,2001-01-09,3840
266,2001-01-10,3710
267,2001-01-11,3640
268,2001-01-12,3840
269,2001-01-15,3920
270,2001-01-16,4140
271,2001-01-17,4220
272,2001-01-18,4400
273,2001-01-19,4600
274,2001-01-22,4550
275,2001-01-23,0
276,2001-01-24,0
277,2001-01-25,0
278,2001-01-26,3980
279,2001-01-29,4020
280,2001-01-30,4110
281,2001-01-31,4400
282,2001-02-01,4270
283,2001-02-02,4290
284,2001-02-05,4030
285,2001-02-06,4010
286,2001-02-07,3900
287,2001-02-08,4060
288,2001-02-09,4070
289,2001-02-12,3970
290,2001-02-13,3980
291,2001-02-14,3980
292,2001-02-15,4130
293,2001-02-16,4250
294,2001-02-19,4190
295,2001-02-20,4240
296,2001-02-21,4160
297,2001-02-22,4010
298,2001-02-23,3840
