,Timestamp,Bayer
0,2000-01-03,0.04117632944670824
1,2000-01-04,0.026907125916946217
2,2000-01-05,-0.003402963582698426
3,2000-01-06,-0.04083028029096303
4,2000-01-07,-0.03566982065716573
5,2000-01-10,0.030031559063204316
6,2000-01-11,0.04420631593911528
7,2000-01-12,0.006802088966052278
8,2000-01-13,-0.023609857932183065
9,2000-01-14,-0.027398546972984494
10,2000-01-17,0.025179005533753074
11,2000-01-18,0.0
12,2000-01-19,0.013394034537187682
13,2000-01-20,0.016995932241516076
14,2000-01-21,-0.005697466844833965
15,2000-01-24,0.053688028822488576
16,2000-01-25,0.0024007272262980273
17,2000-01-26,0.01697091645946891
18,2000-01-27,-0.006093275400919751
19,2000-01-28,0.03034554470271278
20,2000-01-31,-0.003250398995814585
21,2000-02-01,-0.042768491527512165
22,2000-02-02,-0.017781801498019334
23,2000-02-03,0.027398775174604317
24,2000-02-04,0.026929320520085565
25,2000-02-07,-0.07180156786451786
26,2000-02-08,-0.011482403992698842
27,2000-02-09,-0.015853839022857752
28,2000-02-10,0.034288091038044755
29,2000-02-11,-0.016148759709384564
30,2000-02-14,0.05769857898928166
31,2000-02-15,-0.03220486662496613
32,2000-02-16,-0.03005948540957215
33,2000-02-17,-0.0018200261030165699
34,2000-02-18,0.013276126439142555
35,2000-02-21,-0.011456100336125985
36,2000-02-22,0.004565773045256627
37,2000-02-23,0.02314927444375492
38,2000-02-24,-0.0023389543847005534
39,2000-02-25,-0.0011674288707941294
40,2000-02-28,-0.02169867685627125
41,2000-02-29,0.02520506011176593
42,2000-03-01,-0.0035063832554946828
43,2000-03-02,0.022420038846263868
44,2000-03-03,-0.002620636701101464
45,2000-03-06,0.029959252012562665
46,2000-03-07,0.0034404705781714284
47,2000-03-08,-0.025994853033646237
48,2000-03-09,0.02550227482689804
49,2000-03-10,-0.016105683722651865
50,2000-03-13,-0.0072352192803406545
51,2000-03-14,-0.009805679790234834
52,2000-03-15,-0.07073622079002906
53,2000-03-16,-0.01758339579722179
54,2000-03-17,0.00612008430025357
55,2000-03-20,0.008363308114523793
56,2000-03-21,0.006431165665612415
57,2000-03-22,0.021361337650701806
58,2000-03-23,0.0
59,2000-03-24,-0.013768455602484408
60,2000-03-27,-0.027417627991168647
61,2000-03-28,-0.02306703439704627
62,2000-03-29,0.002561009669361791
63,2000-03-30,0.0004256631505139552
64,2000-03-31,-0.00362752500197816
65,2000-04-03,-0.00911568021461262
66,2000-04-04,0.04048792273835522
67,2000-04-05,0.026727341382648095
68,2000-04-06,0.008842662477894336
69,2000-04-07,-0.026740776145353085
70,2000-04-10,0.015643538263365286
71,2000-04-11,-0.0062877218261894186
72,2000-04-12,0.0029153609956749094
73,2000-04-13,0.005175155764708617
74,2000-04-14,0.01523406859064158
75,2000-04-17,0.004591991231752246
76,2000-04-18,0.01624008625900375
77,2000-04-19,0.004691270443615281
78,2000-04-20,-0.016033850872664512
79,2000-04-21,0.0
80,2000-04-24,-0.014746202511380702
81,2000-04-25,-0.01627411661592415
82,2000-04-26,0.0099144240370026
83,2000-04-27,-0.03712088634541244
84,2000-04-28,-0.016032262065934777
85,2000-05-01,0.047732682915107016
86,2000-05-02,0.007233067836214246
87,2000-05-03,-0.015084291314882758
88,2000-05-04,0.010105798882761974
89,2000-05-05,0.008386870264975421
90,2000-05-08,-0.016032688050831467
91,2000-05-09,0.025870120969452515
92,2000-05-10,-0.0011486552425967744
93,2000-05-11,0.005064450853163649
94,2000-05-12,0.013474266817334879
95,2000-05-15,-0.015088786122239739
96,2000-05-16,0.012752563897390878
97,2000-05-17,0.003975307511398629
98,2000-05-18,0.0030521851570655123
99,2000-05-19,0.0011756667049072078
100,2000-05-22,-0.012625584382470745
101,2000-05-23,-0.0034810926224815297
102,2000-05-24,0.023425860657593667
103,2000-05-25,0.014082655902535546
104,2000-05-26,-0.013608061737881094
105,2000-05-29,-0.002603879854228719
106,2000-05-30,0.021033210506629985
107,2000-05-31,-0.009616973676584983
108,2000-06-01,-0.005962468764894702
109,2000-06-02,-0.005927128343203858
110,2000-06-05,0.018129977295625377
111,2000-06-06,-0.010776063354514864
112,2000-06-07,0.013186051270927646
113,2000-06-08,-0.02290101476793449
114,2000-06-09,-0.0007067502123945246
115,2000-06-12,0.00425041830016637
116,2000-06-13,0.010706978576223047
117,2000-06-14,0.024214365370952784
118,2000-06-15,0.03314255282229883
119,2000-06-16,-0.01058682475507311
120,2000-06-19,0.002259553692334215
121,2000-06-20,0.016467474601533194
122,2000-06-21,0.01155970570637388
123,2000-06-22,0.0038831220016253276
124,2000-06-23,-0.005431109926840261
125,2000-06-26,-0.0033501307260612734
126,2000-06-27,-0.025388615348965082
127,2000-06-28,0.012106946039118771
128,2000-06-29,-0.03662085136356996
129,2000-06-30,-0.011914874751559612
130,2000-07-03,-0.01559064379273023
131,2000-07-04,0.0004765147271532655
132,2000-07-05,0.01583899379947651
133,2000-07-06,-0.013853088228057864
134,2000-07-07,-0.0029387080675848942
135,2000-07-10,0.005246824265035421
136,2000-07-11,-0.037314834728984
137,2000-07-12,-0.01649261523450729
138,2000-07-13,0.04003559723403649
139,2000-07-14,-0.014749670283899174
140,2000-07-17,0.004191022781410592
141,2000-07-18,-0.0027967541801467988
142,2000-07-19,-0.014096167001023563
143,2000-07-20,0.00875885870995008
144,2000-07-21,-0.014935111352460062
145,2000-07-24,-0.023217120025747384
146,2000-07-25,0.0006681547513722741
147,2000-07-26,0.021865578382474382
148,2000-07-27,-0.025425427806459844
149,2000-07-28,-0.0024420366941417804
