,25quantileSentiment,50quantileSentiment,75quantileSentiment,ID,Timestamp,analytical_count,anger_count,articleCount,avgSentiment,confident_count,fear_count,ibm_articleCount,joy_count,maxSentiment,minSentiment,nbOfDuplicates,sadness_count,socialScore,stdSentiment,tentative_count
0,0.08482999999999999,0.18218,0.2674725,Samsung,2017-06-01,,,50,0.1656176166666667,,,,,-0.3926111111111111,0.46335,2.0,,1922.0,0.17187920337717333,
1,0.09341249999999998,0.279715,0.3860525,Bayer,2017-06-01,,,50,0.2791707222222222,,,,,-0.03114000000000001,0.71335,7.0,,8477.0,0.181637681027196,
2,0.18142,0.23628000000000002,0.3877,BASF,2017-06-01,,,29,0.2718039176245211,,,,,-0.3906875,0.67285,3.0,,152.0,0.22075509651230504,
3,-0.14143000000000006,0.00995,0.26681,Total,2017-06-01,,,27,0.015326625514403284,,,,,-0.5402399999999999,0.3702,2.0,,2918.0,0.2717020606439439,
4,0.0970325,0.23961,0.35972857142857145,Allianz,2017-06-01,,,50,0.1885093444444445,,,,,-0.26026000000000005,0.71335,25.0,,942.0,0.26054294940673345,
5,0.0321125,0.14000666666666667,0.25425,Tesla,2017-06-01,,,50,0.1588122674603174,,,,,-0.15153,0.55448,1.0,,31675.0,0.1685438143471979,
6,0.0769175,0.16320999999999994,0.3011225,Airbus,2017-06-01,,,50,0.1752515936507936,,,,,-0.12865,0.467,5.0,,1218.0,0.16345974027433727,
7,0.0381525,0.11188,0.21066999999999997,BMW,2017-06-01,,,50,0.07908368333333332,,,,,-0.5376888888888889,0.35647,1.0,,3539.0,0.205927521347719,
8,-0.07244,0.054975,0.18565750000000006,Telefonica,2017-06-01,,,10,0.08213855555555556,,,,,-0.37301999999999996,0.5720888888888889,0.0,,508.0,0.2767473493292788,
9,0.04530250000000001,0.205475,0.304395,Apple,2017-06-01,,,50,0.1603812,,,,,-0.48691999999999996,0.48226,4.0,,14547.0,0.20460637822381905,
10,0.016465,0.15523499999999998,0.2556275,Google,2017-06-01,,,50,0.13287641428571428,,,,,-0.32526,0.5859,3.0,,5591.0,0.1892256432343127,
11,0.024440000000000003,0.18825,0.1955025,BMW,2017-06-02,,,50,0.12489426666666667,,,,,-0.4082,0.48371000000000003,7.0,,383.0,0.1799958393258614,
12,0.038167500000000014,0.14544999999999994,0.2579,Google,2017-06-02,,,50,0.13542122857142855,,,,,-0.32182999999999995,0.49327,5.0,,1923.0,0.18614788215328945,
13,0.20474750000000005,0.33311375,0.429415,Bayer,2017-06-02,,,50,0.3167888500000001,,,,,-0.08474999999999999,0.6471800000000001,6.0,,910.0,0.1832717387314684,
14,0.031555,0.187165,0.26408250000000005,Apple,2017-06-02,,,50,0.13994304999999996,,,,,-0.52599,0.6751,12.0,,642.0,0.23773969250349344,
15,0.11109000000000001,0.30241999999999997,0.30241999999999997,Telefonica,2017-06-02,,,16,0.23188277777777774,,,,,-0.0019299999999999983,0.5630299999999999,2.0,,0.0,0.14822035710803885,
16,0.169945,0.21893,0.43390500000000004,Allianz,2017-06-02,,,23,0.2902286335403727,,,,,0.0296,0.6329600000000001,0.0,,33.0,0.16309786545307228,
17,0.21207,0.26837999999999995,0.30907,BASF,2017-06-02,,,33,0.27485764790764794,,,,,0.05968571428571427,0.6395000000000001,4.0,,0.0,0.11502160675569788,
18,-0.03612999999999999,0.115495,0.1893175,Tesla,2017-06-02,,,50,0.10303521666666664,,,,,-0.30058,0.48371000000000003,2.0,,1825.0,0.17013545026648982,
19,-0.048137500000000014,0.1425575,0.234675625,Samsung,2017-06-02,,,50,0.09595038174603174,,,,,-0.4730875,0.5412888888888889,0.0,,989.0,0.2339670684325285,
20,0.029911666666666663,0.13054000000000002,0.2602975,Airbus,2017-06-02,,,40,0.14013921031746032,,,,,-0.23364,0.52564,2.0,,1376.0,0.18159015791019206,
21,-0.07403000000000001,-0.07403000000000001,0.048825,Total,2017-06-02,,,34,-0.03753450980392156,,,,,-0.5402399999999999,0.30223000000000005,9.0,,308.0,0.15121520933400684,
22,-0.03933888888888888,0.097125,0.1905175,BMW,2017-06-05,,,50,0.07050695793650794,,,,,-0.42845,0.5101000000000001,3.0,,2028.0,0.1846308038156141,
23,0.22754,0.28051,0.30191,Samsung,2017-06-05,,,50,0.2531984222222222,,,,,-0.034910000000000004,0.6839,5.0,,121.0,0.12212382147490583,
24,0.19972,0.2596,0.41513,Telefonica,2017-06-05,,,13,0.2529776923076923,,,,,-0.11408,0.45288,0.0,,7.0,0.1734970412405663,
25,0.026739999999999996,0.12076500000000001,0.21876750000000003,Tesla,2017-06-05,,,50,0.14168009682539684,,,,,-0.10046666666666666,0.5377700000000001,5.0,,395.0,0.14554126236597092,
26,0.11431,0.1966,0.26381,Allianz,2017-06-05,,,17,0.2044814379084967,,,,,-0.05184,0.55053,0.0,,55.0,0.14192200513695302,
27,0.14550499999999994,0.20872,0.30191,Google,2017-06-05,,,50,0.22003285714285706,,,,,-0.10344,0.5374399999999999,3.0,,1618.0,0.1393667821746792,
28,0.12778625,0.19314,0.2888000000000001,Apple,2017-06-05,,,50,0.20164194523809525,,,,,-0.22075999999999996,0.5374399999999999,3.0,,472.0,0.15642384083951535,
29,0.20825,0.28611,0.38464,BASF,2017-06-05,,,29,0.3272106321839081,,,,,-0.22162,0.69516,3.0,,0.0,0.2299499458622816,
30,0.1485175,0.23927500000000004,0.37011,Bayer,2017-06-05,,,50,0.2655887222222223,,,,,0.017899999999999982,0.622325,4.0,,942.0,0.14463009014582318,
